Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
18.6000	78.3492	64.5516	0.0000	3.9738	2.0000
18.7000	78.2268	64.5526	0.0000	3.9984	2.0000
18.8000	78.1907	64.6553	0.0000	4.0229	2.0000
18.9000	78.1545	64.7580	0.0000	4.0475	2.0000
19.0000	78.1184	64.8607	0.0000	4.0721	2.0000
19.1000	78.0822	64.9634	0.0000	4.0966	2.0000
19.2000	78.0461	65.0661	0.0000	4.1212	2.0000
19.3000	78.0099	65.1688	0.0000	4.1458	2.0000
19.4000	77.9738	65.2715	0.0000	4.1703	2.0000
19.5000	77.9904	65.4346	0.0000	4.1949	2.0000
19.6000	78.1425	65.7526	0.0000	4.2195	2.0000
19.7000	78.2946	66.0707	0.0000	4.2440	2.0000
19.8000	78.4467	66.3888	0.0000	4.2431	2.0000
19.9000	78.5988	66.7069	0.0000	4.2387	2.0000
20.0000	78.7509	67.0250	0.0000	4.2343	2.0000
20.1000	78.9031	67.3430	0.0000	4.2299	2.0000
20.2000	79.0552	67.6611	0.0000	4.2254	2.0000
20.3000	79.2073	67.9792	0.0000	4.2210	2.0000
20.4000	79.2636	68.0333	0.0000	4.2166	2.0000
20.5000	79.2863	67.9945	0.0000	4.2122	2.0000
20.6000	79.3090	67.9558	0.0000	4.2078	2.0000
20.7000	79.3316	67.9171	0.0000	4.2034	2.0000
20.8000	79.3543	67.8784	0.0000	4.1990	2.0000
20.9000	79.3770	67.8397	0.0000	4.1946	2.0000
21.0000	79.3997	67.8009	0.0000	4.1902	2.0000
21.1000	79.4223	67.7622	0.0000	4.1857	2.0000
21.2000	79.4450	67.7235	0.0000	4.1813	2.0000
21.3000	79.4229	67.7313	0.0000	4.1769	2.0000
21.4000	79.3948	67.7455	0.0000	4.1725	2.0000
21.5000	79.3666	67.7597	0.0000	4.1681	2.0000
21.6000	79.3384	67.7739	0.0000	4.1637	2.0000
21.7000	79.3102	67.7881	0.0000	4.1593	2.0000
21.8000	79.2820	67.8023	0.0000	4.1549	2.0000
21.9000	79.2538	67.8165	0.0000	4.1505	2.0000
22.0000	79.2256	67.8307	0.0000	4.1460	2.0000
22.1000	79.2914	67.9350	0.0000	4.1416	2.0000
22.2000	79.4673	68.1453	0.0000	4.1372	2.0000
22.3000	79.6432	68.3555	0.0000	4.1328	2.0000
22.4000	79.8192	68.5657	0.0000	4.1284	2.0000
22.5000	79.9951	68.7759	0.0000	4.1240	2.0000
22.6000	80.1711	68.9862	0.0000	4.1196	2.0000
22.7000	80.3470	69.1964	0.0000	4.1152	2.0000
22.8000	80.5229	69.4066	0.0000	4.1107	2.0000
22.9000	80.7584	69.6171	0.0000	4.1063	2.0000
23.0000	81.0532	69.8278	0.0000	4.1019	2.0000
23.1000	81.3481	70.0386	0.0000	4.0975	2.0000
23.2000	81.6430	70.2493	0.0000	4.0931	2.0000
23.3000	81.9379	70.4600	0.0000	4.0887	2.0000
23.4000	82.2328	70.6707	0.0000	4.0843	2.0000
23.5000	82.5277	70.8814	0.0000	4.0799	2.0000
23.6000	82.8226	71.0922	0.0000	4.0761	2.0000
23.7000	83.0731	71.2691	0.0000	4.0729	2.0000
23.8000	83.0513	71.2386	0.0000	4.0696	2.0000
23.9000	83.0294	71.2081	0.0000	4.0663	2.0000
24.0000	83.0076	71.1776	0.0000	4.0631	2.0000
24.1000	82.9858	71.1471	0.0000	4.0598	2.0000
24.2000	82.9640	71.1166	0.0000	4.0565	2.0000
24.3000	82.9421	71.0861	0.0000	4.0533	2.0000
24.4000	82.9203	71.0556	0.0000	4.0500	2.0000
24.5000	82.8985	71.0251	0.0000	4.0467	2.0000
24.6000	82.8158	70.8592	0.0000	4.0434	2.0000
24.7000	82.6038	70.4054	0.0000	4.0402	2.0000
