Time	MABP [mmHg]	CBFV-L [cm/s]	CBFV-R [cm/s]	etCO2 [kPa]	MN					
15.2000	70.1651	64.3276	58.9062	5.3435	2.0000
15.3000	70.0398	64.1461	58.8172	5.3432	2.0000
15.4000	69.9145	63.9647	58.7281	5.3429	2.0000
15.5000	69.7892	63.7832	58.6391	5.3426	2.0000
15.6000	69.6639	63.6017	58.5500	5.3424	2.0000
15.7000	69.5385	63.4202	58.4610	5.3421	2.0000
15.8000	69.4132	63.2387	58.3719	5.3418	2.0000
15.9000	69.2879	63.0572	58.2829	5.3416	2.0000
16.0000	69.1626	62.8757	58.1938	5.3413	2.0000
16.1000	69.0373	62.6942	58.1048	5.3410	2.0000
16.2000	68.9119	62.5128	58.0157	5.3407	2.0000
16.3000	68.7866	62.3313	57.9267	5.3405	2.0000
16.4000	68.6807	62.2304	57.9332	5.3402	2.0000
16.5000	68.5780	62.1428	57.9552	5.3399	2.0000
16.6000	68.4753	62.0551	57.9772	5.3397	2.0000
16.7000	68.3726	61.9674	57.9992	5.3394	2.0000
16.8000	68.2698	61.8797	58.0212	5.3391	2.0000
16.9000	68.1671	61.7920	58.0433	5.3388	2.0000
17.0000	68.0644	61.7043	58.0653	5.3386	2.0000
17.1000	67.9616	61.6166	58.0873	5.3383	2.0000
17.2000	67.8589	61.5289	58.1093	5.3380	2.0000
17.3000	67.7562	61.4412	58.1314	5.3378	2.0000
17.4000	67.6535	61.3535	58.1534	5.3375	2.0000
17.5000	67.5820	61.3070	58.2045	5.3373	2.0000
17.6000	67.6746	61.4772	58.4083	5.3372	2.0000
17.7000	67.7672	61.6473	58.6122	5.3372	2.0000
17.8000	67.8599	61.8174	58.8160	5.3372	2.0000
17.9000	67.9525	61.9875	59.0199	5.3372	2.0000
18.0000	68.0451	62.1576	59.2237	5.3371	2.0000
18.1000	68.1377	62.3277	59.4275	5.3371	2.0000
18.2000	68.2304	62.4978	59.6314	5.3371	2.0000
18.3000	68.3230	62.6679	59.8352	5.3370	2.0000
18.4000	68.4156	62.8381	60.0390	5.3370	2.0000
18.5000	68.5083	63.0082	60.2429	5.3370	2.0000
18.6000	68.6009	63.1783	60.4467	5.3369	2.0000
18.7000	68.6423	63.2992	60.5900	5.3369	2.0000
18.8000	68.4789	63.2232	60.4912	5.3369	2.0000
18.9000	68.3156	63.1472	60.3923	5.3368	2.0000
19.0000	68.1522	63.0713	60.2934	5.3368	2.0000
19.1000	67.9888	62.9953	60.1945	5.3368	2.0000
19.2000	67.8255	62.9193	60.0957	5.3367	2.0000
19.3000	67.6621	62.8434	59.9968	5.3367	2.0000
19.4000	67.4987	62.7674	59.8979	5.3367	2.0000
19.5000	67.3354	62.6915	59.7991	5.3366	2.0000
19.6000	67.1720	62.6155	59.7002	5.3366	2.0000
19.7000	67.0086	62.5395	59.6013	5.3366	2.0000
19.8000	66.8453	62.4636	59.5025	5.3366	2.0000
19.9000	66.7711	62.4807	59.4843	5.3365	2.0000
20.0000	66.7862	62.5909	59.5467	5.3365	2.0000
20.1000	66.8014	62.7010	59.6092	5.3365	2.0000
20.2000	66.8165	62.8112	59.6717	5.3364	2.0000
20.3000	66.8316	62.9214	59.7342	5.3364	2.0000
20.4000	66.8467	63.0316	59.7967	5.3364	2.0000
20.5000	66.8618	63.1418	59.8591	5.3363	2.0000
20.6000	66.8769	63.2519	59.9216	5.3379	2.0000
20.7000	66.8920	63.3621	59.9841	5.3395	2.0000
20.8000	66.9072	63.4723	60.0466	5.3411	2.0000
20.9000	66.9223	63.5825	60.1091	5.3427	2.0000
21.0000	66.9374	63.6927	60.1715	5.3443	2.0000
21.1000	67.0007	63.8012	60.2926	5.3459	2.0000
21.2000	67.1204	63.9077	60.4823	5.3475	2.0000
21.3000	67.2402	64.0142	60.6721	5.3491	2.0000
21.4000	67.3600	64.1207	60.8619	5.3507	2.0000
21.5000	67.4798	64.2272	61.0517	5.3523	2.0000
21.6000	67.5996	64.3337	61.2414	5.3539	2.0000
21.7000	67.7193	64.4402	61.4312	5.3555	2.0000
21.8000	67.8391	64.5467	61.6210	5.3572	2.0000
21.9000	67.9589	64.6533	61.8108	5.3588	2.0000
22.0000	68.0787	64.7598	62.0005	5.3604	2.0000
22.1000	68.1984	64.8663	62.1903	5.3620	2.0000
22.2000	68.3182	64.9728	62.3801	5.3636	2.0000
22.3000	68.4121	65.0121	62.4884	5.3652	2.0000
22.4000	68.4321	64.8599	62.3650	5.3668	2.0000
22.5000	68.4522	64.7078	62.2416	5.3684	2.0000
22.6000	68.4723	64.5557	62.1182	5.3700	2.0000
22.7000	68.4923	64.4036	61.9948	5.3716	2.0000
22.8000	68.5124	64.2515	61.8714	5.3732	2.0000
22.9000	68.5325	64.0994	61.7480	5.3748	2.0000
23.0000	68.5525	63.9473	61.6246	5.3764	2.0000
23.1000	68.5726	63.7952	61.5012	5.3780	2.0000
23.2000	68.5927	63.6430	61.3778	5.3796	2.0000
23.3000	68.6127	63.4909	61.2544	5.3812	2.0000
23.4000	68.6328	63.3388	61.1310	5.3828	2.0000
23.5000	68.6972	63.2514	61.0012	5.3845	2.0000
23.6000	68.8755	63.3302	60.8549	5.3861	2.0000
23.7000	69.0539	63.4090	60.7087	5.3877	2.0000
23.8000	69.2323	63.4878	60.5624	5.3893	2.0000
23.9000	69.4107	63.5666	60.4161	5.3909	2.0000
24.0000	69.5890	63.6455	60.2698	5.3925	2.0000
24.1000	69.7674	63.7243	60.1235	5.3943	2.0000
24.2000	69.9458	63.8031	59.9772	5.3962	2.0000
24.3000	70.1241	63.8819	59.8309	5.3981	2.0000
24.4000	70.3025	63.9607	59.6846	5.4000	2.0000
24.5000	70.4809	64.0395	59.5384	5.4019	2.0000
24.6000	70.6592	64.1184	59.3921	5.4038	2.0000
24.7000	70.8376	64.1972	59.2458	5.4057	2.0000
24.8000	70.8486	64.1486	59.1290	5.4075	2.0000
24.9000	70.8324	64.0793	59.0170	5.4094	2.0000
25.0000	70.8161	64.0099	58.9051	5.4113	2.0000
25.1000	70.7999	63.9406	58.7931	5.4132	2.0000
25.2000	70.7836	63.8713	58.6811	5.4151	2.0000
25.3000	70.7674	63.8020	58.5691	5.4170	2.0000
25.4000	70.7511	63.7326	58.4571	5.4189	2.0000
25.5000	70.7349	63.6633	58.3452	5.4208	2.0000
25.6000	70.7186	63.5940	58.2332	5.4227	2.0000
25.7000	70.7024	63.5246	58.1212	5.4246	2.0000
25.8000	70.6861	63.4553	58.0092	5.4265	2.0000
25.9000	70.6699	63.3860	57.8972	5.4283	2.0000
26.0000	70.5794	63.2585	57.7052	5.4302	2.0000
26.1000	70.3866	63.0506	57.4026	5.4321	2.0000
26.2000	70.1937	62.8427	57.0999	5.4340	2.0000
26.3000	70.0009	62.6348	56.7973	5.4359	2.0000
26.4000	69.8080	62.4269	56.4946	5.4378	2.0000
26.5000	69.6152	62.2190	56.1920	5.4397	2.0000
26.6000	69.4223	62.0111	55.8893	5.4416	2.0000
